場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
新潟,1,未勝利,ダート,1800,稍重,1,シェーネアウゲン,3歳,丹内祐次,清水久詞,先行,,100.0,中距離,左回り,ダ道悪,Lv2 ,サートゥルナーリア,,
新潟,1,未勝利,ダート,1800,稍重,2,グランカッサ,3歳,上里直汰,加藤士津,逃げ,0.0,0.0,中距離,左回り,ダ道悪,Lv2 ,オルフェーヴル,休明2走,距離短縮
新潟,1,未勝利,ダート,1800,稍重,3,ヴェントドーロ,3歳,柴田裕一,千葉直人,追込,,,中距離,左回り,ダ道悪,Lv2 ,ゴールドドリーム,休明初戦,距離延長
新潟,1,未勝利,ダート,1800,稍重,4,メムエクラ,3歳,菊沢一樹,高木登,,,,中距離,左回り,ダ道悪,Lv2 ,イスラボニータ,,
新潟,1,未勝利,ダート,1800,稍重,5,フクキタテーラー,3歳,舟山瑠泉,緒方努,追込,,0.0,中距離,左回り,ダ道悪,Lv2 ,ルヴァンスレーヴ,休明初戦,距離短縮
新潟,1,未勝利,ダート,1800,稍重,6,スターライトナイト,3歳,石神深道,伊藤大士,差し,,0.0,中距離,左回り,ダ道悪,Lv2 ,ルーラーシップ,,
新潟,1,未勝利,ダート,1800,稍重,7,インマイブラッド,3歳,小沢大仁,中尾秀正,差し,,50.0,中距離,左回り,ダ道悪,Lv2 ,モズアスコット,休明初戦,距離延長
新潟,1,未勝利,ダート,1800,稍重,8,ピコピンク,3歳,小林美駒,尾形和幸,先行,,0.0,中距離,左回り,ダ道悪,Lv2 ,ヘニーヒューズ,休明2走,距離延長
新潟,1,未勝利,ダート,1800,稍重,9,エイユービューティ,3歳,橋木太希,藤野健太,差し,,,中距離,左回り,ダ道悪,Lv2 ,フォーウィールドライブ,休明2走,距離延長
新潟,1,未勝利,ダート,1800,稍重,10,ラブスノー,3歳,石田拓郎,蛯名利弘,追込,,,中距離,左回り,ダ道悪,Lv2 ,サンダースノー,休明3走,距離延長
新潟,1,未勝利,ダート,1800,稍重,11,レイバックスピン,3歳,国分恭介,牧浦充徳,先行,,0.0,中距離,左回り,ダ道悪,Lv2 ,リアルスティール,休明初戦,
新潟,1,未勝利,ダート,1800,稍重,12,フルセンド,3歳,小崎綾也,福永祐一,差し,,33.33333333333333,中距離,左回り,ダ道悪,Lv2 ,エピファネイア,,距離短縮
新潟,1,未勝利,ダート,1800,稍重,13,ミコノオンガエシ,3歳,長浜鴻緒,中村直也,追込,,,中距離,左回り,ダ道悪,Lv2 ,ゴールドシップ,休明2走,距離短縮
新潟,1,未勝利,ダート,1800,稍重,14,ハプスブルグ,3歳,古川奈穂,河嶋宏樹,追込,,0.0,中距離,左回り,ダ道悪,Lv2 ,ハービンジャー,休明3走,距離延長
新潟,1,未勝利,ダート,1800,稍重,15,カセノクララ,3歳,黛弘人,鈴木伸尋,,,,中距離,左回り,ダ道悪,Lv2 ,ヘニーヒューズ,,
新潟,2,未勝利,ダート,1200,稍重,1,フラッシュタイム,3歳,小林美駒,佐藤吉勝,差し,,50.0,短距離,左回り,ダ道悪,Lv2 ,エイシンフラッシュ,休明初戦,距離短縮
新潟,2,未勝利,ダート,1200,稍重,2,タッカーバリアント,3歳,長浜鴻緒,田島俊明,先行,,75.0,短距離,左回り,ダ道悪,Lv2 ,リアルスティール,,
新潟,2,未勝利,ダート,1200,稍重,3,メイショウテンテン,3歳,河原田菜,牧浦充徳,差し,,0.0,短距離,左回り,ダ道悪,Lv2 ,コパノリッキー,休明初戦,
新潟,2,未勝利,ダート,1200,稍重,4,アイムアクイーン,3歳,田中健,荒川義之,,,,短距離,左回り,ダ道悪,Lv2 ,キンシャサノキセキ,,
新潟,2,未勝利,ダート,1200,稍重,5,ビーマックス,3歳,中井裕二,藤野健太,逃げ,100.0,50.0,短距離,左回り,ダ道悪,Lv2 ,サトノアラジン,休明2走,距離延長
新潟,2,未勝利,ダート,1200,稍重,6,トウカイクレオス,3歳,舟山瑠泉,菊川正達,追込,,0.0,短距離,左回り,ダ道悪,Lv2 ,ミスターメロディ,休明初戦,距離短縮
新潟,2,未勝利,ダート,1200,稍重,7,ロッキンミー,3歳,佐藤翔馬,杉浦宏昭,先行,,25.0,短距離,左回り,ダ道悪,Lv2 ,スクリーンヒーロー,,
新潟,2,未勝利,ダート,1200,稍重,8,グランシャット,3歳,菱田裕二,宮田敬介,追込,,0.0,短距離,左回り,ダ道悪,Lv2 ,ルヴァンスレーヴ,休明2走,
