場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
小倉,1,1,モズジェネラル,田中克典,195.0,1263.0,651.0,1372.0,1435.0,505.0,,,5421.0,3.0
小倉,1,2,ノリノドラゴン,荒川義之,-524.0,454.0,1664.0,1390.0,387.0,560.0,-227.0,,3704.0,5.0
小倉,1,3,ユイノサダハル,古賀慎明,-10.0,704.0,-845.0,646.0,-137.0,-468.0,,,-110.0,8.0
小倉,1,4,シャープインサイト,東田明士,-205.0,-858.0,-603.0,398.0,326.0,306.0,,,-636.0,10.0
小倉,1,5,レッツエンジョイ,石坂公一,-18.0,1246.0,432.0,1195.0,991.0,1302.0,,,5148.0,4.0
小倉,1,6,オーパパ,斎藤誠　,-245.0,738.0,320.0,50.0,-1459.0,327.0,,,-269.0,9.0
小倉,1,7,ロンバルドシチー,西園翔太,56.0,-584.0,1119.0,708.0,1126.0,-458.0,669.0,,2636.0,6.0
小倉,1,8,バケラッタ,河嶋宏樹,452.0,3465.0,3000.0,3830.0,1106.0,2063.0,,,13916.0,1.0
小倉,1,9,シュトルムカイザー,野中賢二,61.0,-1227.0,-311.0,-1257.0,-474.0,-964.0,,,-4172.0,12.0
小倉,1,10,ビナハイバン,中尾秀正,556.0,-139.0,-565.0,-61.0,-320.0,-486.0,,,-1015.0,11.0
小倉,1,11,イサギ,小椋研介,415.0,-967.0,-1377.0,-1558.0,-2818.0,-3210.0,,,-9515.0,16.0
小倉,1,12,マイネルゼーロス,相沢郁　,-217.0,-947.0,-696.0,-1752.0,-1087.0,-129.0,-2.0,,-4830.0,13.0
小倉,1,13,コパノルーカス,梅田智之,-123.0,-714.0,-816.0,-1396.0,-1390.0,-1492.0,-261.0,,-6192.0,15.0
小倉,1,14,デルニエジョイ,鈴木孝志,-433.0,-1174.0,-104.0,-692.0,-638.0,-1164.0,-1505.0,,-5710.0,14.0
小倉,1,15,ゴーゴーパワー,井上智史,201.0,949.0,2451.0,1143.0,3784.0,2642.0,-685.0,,10485.0,2.0
小倉,1,16,ブルーミーティア,鈴木伸尋,157.0,580.0,-376.0,660.0,-337.0,-506.0,,,178.0,7.0
小倉,2,1,シェーロドラート,加藤士津,-47.0,-260.0,-69.0,-691.0,336.0,887.0,,,156.0,11.0
小倉,2,2,ダブルチャレンジ,深山雅史,-4.0,260.0,124.0,137.0,-3.0,821.0,,,1335.0,7.0
小倉,2,3,ルルマーレ,伊藤大士,194.0,-337.0,-253.0,116.0,-869.0,-1194.0,,,-2343.0,13.0
